"ChannelName","ChannelPostfix","Header","PID","Equation","MinValue","MaxValue","Unit","Notes"
"AWD Coupling Temp","coupling","0x7B1","0x221026","bytesToUint(raw,0,2)/128.0",-20,100,"C",""
"Clutch Pack/Trans Temp","clpack","0x700","0x221638","bytesToUint(raw,0,1)+bytesToUint(raw,1,1)/256.0-40",0,100,"C",""
"Brake Master Cyl Temp","mctemp","0x7B0","0x221006","bytesToUint(raw,0,1)-80",-20,100,"C",""
"Charge Air Cooler Temp","cact","0x7DF","0x0177","bytesToUint(raw,1,1)-40",-40,100,"C",""
"Engine Oil Pressure","oilpress","0x700","0x221074","bytesToUint(raw,0,2)*10.0/128.0",0,1000,"kPa",""
"Engine Oil Temp (unconfirmed)","oiltemp","","0x015C","bytesToUint(raw,0,1)-40",-40,215,"C","standard PID, may not be supported by this ECU - untested on GR Yaris"
"Front Left Tire Pressure","fltp","0x750","0x221005","bytesToUint(raw,1,1)/58.0-0.5",0,4,"bar","needs response-matching setup (see notes below)"
"Front Right Tire Pressure","frtp","0x750","0x221005","bytesToUint(raw,3,1)/58.0-0.5",0,4,"bar","needs response-matching setup (see notes below)"
"Rear Left Tire Pressure","rltp","0x750","0x221005","bytesToUint(raw,5,1)/58.0-0.5",0,4,"bar","needs response-matching setup (see notes below)"
"Rear Right Tire Pressure","rrtp","0x750","0x221005","bytesToUint(raw,7,1)/58.0-0.5",0,4,"bar","needs response-matching setup (see notes below)"
"Front Left Tire Temp","fltt","0x750","0x221004","bytesToUint(raw,0,1)-40",-30,100,"C","needs response-matching setup (see notes below)"
"Front Right Tire Temp","frtt","0x750","0x221004","bytesToUint(raw,1,1)-40",-30,100,"C","needs response-matching setup (see notes below)"
"Rear Left Tire Temp","rltt","0x750","0x221004","bytesToUint(raw,2,1)-40",-30,100,"C","needs response-matching setup (see notes below)"
"Rear Right Tire Temp","rrtt","0x750","0x221004","bytesToUint(raw,3,1)-40",-30,100,"C","needs response-matching setup (see notes below)"
